date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Dealer_Hedging_buy,Dealer_self_buy,Foreign_Investor_buy,Investment_Trust_buy,Dealer_Hedging_sell,Dealer_self_sell,Foreign_Investor_sell,Investment_Trust_sell
2003-06-30,0050,9930000,367884760,37.1,37.4,36.92,37.08,0.12,2047,,,,2239,0,29000,0,2239,0,259,0,0,29000,0,0,0,,,,,,,,
2003-07-01,0050,14290000,536078350,37.09,38.1,37.09,38.05,0.97,2223,,,,2194,0,29000,1052,3381,2239,1503,0,0,29000,250,250,0,,,,,,,,
2003-07-02,0050,16232000,625636880,38.17,38.82,38.1,38.69,0.64,1906,,,,2043,0,29000,929,4495,3381,1170,28,0,29000,190,412,250,,,,,,,,
2003-07-03,0050,16839000,661217150,40.6,40.6,38.81,39.0,0.31,2230,,,,3664,0,30000,1109,7050,4495,1131,79,0,30000,199,532,412,,,,,,,,
2003-07-04,0050,12491000,487753800,39.1,39.26,38.75,39.26,0.26,1514,,,,1046,5,30750,1158,6933,7050,800,49,0,30750,330,813,532,,,,,,,,
2003-07-07,0050,19461000,784967940,39.6,41.0,39.6,41.0,1.74,1978,,,,1958,0,30250,3309,5582,6933,1383,248,0,30250,408,973,813,,,,,,,,
2003-07-08,0050,13945000,575586450,42.0,42.0,40.7,41.19,0.19,2296,,,,2696,0,28000,1264,7013,5581,1191,228,0,28000,292,1037,973,,,,,,,,
2003-07-09,0050,8849000,363763270,41.3,41.3,40.81,41.22,0.03,1198,,,,1350,0,27750,1553,6812,7015,590,170,0,27750,189,1056,1037,,,,,,,,
2003-07-10,0050,8603000,348382480,41.2,41.2,40.05,40.05,-1.17,1491,,,,801,0,27750,790,6823,6812,628,284,0,27750,249,1021,1056,,,,,,,,
2003-07-11,0050,7019000,277417400,39.6,39.97,39.3,39.91,-0.14,1404,,,,1032,10,27500,392,7453,6823,688,386,0,27500,207,842,1021,,,,,,,,
2003-07-14,0050,10771000,436827930,39.95,41.0,39.92,40.66,0.75,1400,,,,852,1,27000,1094,7210,7453,705,143,1,27000,181,879,842,,,,,,,,
2003-07-15,0050,9432000,383346040,40.7,40.86,40.19,40.19,-0.47,1101,,,,778,5,26000,896,7087,7210,356,89,0,26000,297,1087,879,,,,,,,,
2003-07-16,0050,6798000,276893690,40.5,40.98,40.24,40.85,0.66,957,,,,664,20,25750,608,7123,7087,428,120,0,25750,153,1120,1087,,,,,,,,
2003-07-17,0050,9924000,399015080,40.5,40.65,39.8,39.8,-1.05,1187,,,,618,713,25000,697,6331,7123,502,357,0,25000,342,1105,1120,,,,,,,,
2003-07-18,0050,7220000,287078070,39.78,39.98,39.55,39.92,0.12,1032,,,,384,0,24500,834,5881,6331,534,288,35,24500,360,1142,1105,,,,,,,,
2003-07-21,0050,6715000,267154330,40.0,40.25,39.4,39.4,-0.52,993,,,,784,10,24500,299,6356,5881,589,210,0,24500,225,1157,1142,,,,,,,,
2003-07-22,0050,9169000,363490990,39.41,39.98,39.41,39.98,0.58,737,,,,782,0,24500,909,6229,6356,548,144,0,24500,135,1148,1157,,,,,,,,
2003-07-23,0050,8148000,328372300,40.3,40.5,40.0,40.05,0.07,848,,,,391,10,24500,969,5641,6229,603,236,4,24500,65,973,1148,,,,,,,,
2003-07-24,0050,10984000,448189430,40.2,41.23,40.2,41.23,1.18,1279,,,,356,70,24500,1121,4806,5641,833,106,0,24500,290,1157,973,,,,,,,,
2003-07-25,0050,8433000,346491330,41.0,41.34,40.85,41.23,0.0,931,,,,323,1,23250,512,4616,4806,570,129,1,23250,129,1156,1157,,,,,,,,
2003-07-28,0050,6839000,285426040,41.9,41.94,41.57,41.58,0.35,966,,,,493,0,23250,819,4290,4616,614,99,0,23250,226,1283,1156,,,,,,,,
2003-07-29,0050,5680000,233010990,41.54,41.54,40.83,41.02,-0.56,864,,,,300,0,23250,556,4034,4290,340,198,0,23250,158,1243,1283,,,,,,,,
2003-07-30,0050,9300000,378924610,41.0,41.02,40.55,40.6,-0.42,869,,,,453,0,23250,516,3971,4034,396,261,0,23250,99,1081,1243,,,,,,,,
2003-07-31,0050,5120000,208233880,40.66,41.0,40.44,40.87,0.27,965,,,,143,6,23000,329,3779,3971,415,37,0,23000,156,1200,1081,,,,,,,,
2003-08-01,0050,3703000,153340310,41.28,41.6,41.05,41.6,0.73,844,,,,181,31,22750,547,3382,3779,293,112,0,22750,164,1252,1200,,,,,,,,
2003-08-04,0050,3708000,153495550,41.47,41.55,41.21,41.4,-0.2,344,,,,83,0,22750,356,3109,3382,101,40,0,22750,37,1249,1252,,,,,,,,
2003-08-05,0050,4929000,200981630,41.5,41.61,40.5,40.5,-0.9,659,,,,365,0,22250,193,3281,3109,344,114,0,22250,107,1242,1249,,,,,,,,
2003-08-06,0050,4646000,186678450,40.2,40.3,40.06,40.23,-0.27,663,,,,604,1,22750,116,3768,3281,202,166,0,22750,75,1151,1242,,,,,,,,
2003-08-07,0050,5574000,224384730,40.35,40.77,39.97,40.7,0.47,736,,,,205,0,22500,307,3666,3768,335,91,0,22500,79,1139,1151,,,,,,,,
2003-08-08,0050,4009000,162440190,40.7,40.7,40.18,40.18,-0.52,492,,,,212,0,22250,192,3687,3667,345,35,0,22250,139,1243,1139,,,,,,,,
2003-08-11,0050,2619000,104578500,39.9,40.18,39.68,40.1,-0.08,488,,,,147,0,22250,276,3558,3687,118,134,0,22250,111,1220,1243,,,,,,,,
2003-08-12,0050,4255000,172402720,40.34,40.65,40.34,40.55,0.45,429,,,,329,0,22250,167,3720,3558,137,61,0,22250,41,1200,1220,,,,,,,,
2003-08-13,0050,12452000,521544240,41.0,42.45,41.0,42.45,1.9,1640,,,,1075,0,22500,920,3875,3720,544,152,0,22500,292,1340,1200,,,,,,,,
2003-08-14,0050,11489000,486593840,42.29,42.55,42.0,42.3,-0.15,896,,,,558,0,22500,771,3662,3875,230,80,0,22500,105,1365,1340,,,,,,,,
2003-08-15,0050,8705000,374241770,42.66,43.5,42.66,42.72,0.42,695,,,,1167,1,23000,408,4420,3662,191,115,0,23000,42,1297,1370,,,,,,,,
2003-08-18,0050,4295000,183577210,43.0,43.1,42.52,42.8,0.08,494,,,,354,0,22750,295,4479,4420,129,47,0,22750,29,1279,1297,,,,,,,,
2003-08-19,0050,6286000,271811720,43.5,43.6,42.8,43.0,0.2,704,,,,399,0,22750,820,4058,4479,359,71,0,22750,170,1378,1279,,,,,,,,
2003-08-20,0050,4201000,181073180,42.8,43.28,42.8,43.19,0.19,437,,,,241,0,22750,232,4067,4058,192,8,0,22750,70,1440,1378,,,,,,,,
2003-08-21,0050,3518000,152951160,43.19,44.0,42.8,44.0,0.81,630,,,,602,0,22750,351,4318,4067,203,160,0,22750,183,1463,1440,,,,,,,,
2003-08-22,0050,6243000,276105870,44.0,44.59,43.95,44.04,0.04,752,,,,1517,0,22750,398,5437,4318,485,81,0,22750,147,1529,1463,,,,,,,,
2003-08-25,0050,4937000,217636420,44.1,44.39,43.79,44.35,0.31,518,,,,327,1,22500,631,5132,5437,158,30,1,22500,26,1524,1529,,,,,,,,
2003-08-26,0050,8544000,372327820,44.25,44.25,43.4,43.46,-0.89,871,,,,593,5,22500,274,5446,5132,274,180,5,22500,120,1459,1524,,,,,,,,
2003-08-27,0050,6352000,277329490,43.28,43.97,43.28,43.62,0.16,659,,,,312,0,21500,325,5433,5446,264,84,0,21500,140,1510,1454,,,,,,,,
2003-08-28,0050,4754000,207762210,43.63,43.95,43.49,43.56,-0.06,453,,,,245,2,115250,412,5264,5433,279,55,0,115250,98,1553,1510,,,,,,,,
2003-08-29,0050,7666000,338875630,43.6,44.92,43.6,44.92,1.36,786,,,,530,0,114750,729,5065,5264,334,132,0,114750,179,1600,1553,,,,,,,,
2003-09-01,0050,6283000,283499760,46.4,46.4,44.79,45.15,0.23,804,,,,1191,0,114750,255,6001,5065,258,129,0,114750,150,1621,1600,,,,,,,,
2003-09-02,0050,2163000,97711050,45.23,45.52,44.9,45.52,0.37,473,,,,453,0,115250,139,6315,6001,268,75,0,115250,121,1667,1621,,,,,,,,
2003-09-03,0050,4321000,196259650,45.9,45.9,45.0,45.0,-0.52,693,,,,636,25,115250,795,6098,6282,200,62,0,115250,149,1721,1634,,,,,,,,
2003-09-04,0050,3077000,137885310,45.1,45.1,44.51,44.51,-0.49,586,,,,388,0,115250,610,5876,6098,172,121,0,115250,113,1713,1721,,,,,,,,
2003-09-05,0050,3894000,175161720,45.0,45.25,44.7,45.03,0.52,582,,,,291,0,115500,441,5726,5876,309,41,0,115500,292,1964,1713,,,,,,,,
2003-09-08,0050,5233000,237436070,44.8,46.0,44.59,45.95,0.92,840,,,,735,0,115500,846,5615,5726,375,210,0,115500,127,1881,1964,,,,,,,,
2003-09-09,0050,7878000,364255510,46.5,46.59,45.7,45.7,-0.25,938,,,,1244,1,115500,457,6401,5615,305,263,0,115500,64,1682,1881,,,,,,,,
